Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
1,16,Lakeside HS (WA),OF,L/L,HS SR,109.0,Arizona Diamondbacks, Corbin,Carroll, Corbin Carroll,SignedBonus,3750000.0,2019
1,26,New Hanover HS (NC),P,L/L,HS SR,109.0,Arizona Diamondbacks, Blake,Walston, Blake Walston,SignedBonus,2450000.0,2019
1C,33,IMG Academy (FL),P,R/R,HS SR,109.0,Arizona Diamondbacks, Brennan,Malone, Brennan Malone,SignedBonus,2200000.0,2019
1C,34,Ball State (IN),P,R/R,4YR SO,109.0,Arizona Diamondbacks, Drey,Jameson, Drey Jameson,SignedBonus,1400000.0,2019
2,56,Oregon (OR),P,R/R,4YR JR,109.0,Arizona Diamondbacks, Ryne,Nelson, Ryne Nelson,SignedBonus,1100000.0,2019
CBB,74,Michigan (MI),P,L/L,4YR JR,109.0,Arizona Diamondbacks, Tommy,Henry, Tommy Henry,SignedBonus,750000.0,2019
CBB,75,Arkansas (AR),OF,L/L,4YR JR,109.0,Arizona Diamondbacks, Dominic,Fletcher, Dominic Fletcher,SignedBonus,700000.0,2019
3,93,Georgia Tech (GA),1B,R/R,4YR SR,109.0,Arizona Diamondbacks, Tristin,English, Tristin English,SignedBonus,500000.0,2019
4,122,Santa Cruz HS (CA),SS,S/R,HS SR,109.0,Arizona Diamondbacks, Glenallen,Hill Jr., Glenallen Hill Jr.,SignedBonus,850000.0,2019
5,152,Xavier (OH),P,R/R,4YR JR,109.0,Arizona Diamondbacks, Conor,Grammes, Conor Grammes,SignedBonus,300000.0,2019
6,182,Indiana (IN),P,L/L,4YR JR,109.0,Arizona Diamondbacks, Andrew,Saalfrank, Andrew Saalfrank,SignedBonus,225000.0,2019
7,212,East Carolina (NC),1B,L/R,4YR JR,109.0,Arizona Diamondbacks, Spencer,Brickhouse, Spencer Brickhouse,SignedBonus,190000.0,2019
8,242,Ohio State (OH),RF,L/R,4YR JR,109.0,Arizona Diamondbacks, Dominic,Canzone, Dominic Canzone,SignedBonus,170300.0,2019
9,272,Cal Poly - San Luis Obispo (CA),P,R/R,4YR SR,109.0,Arizona Diamondbacks, Bobby,Ay, Bobby Ay,SignedBonus,100000.0,2019
10,302,PJ Education School (PR),C,R/R,HS SR,109.0,Arizona Diamondbacks, Oscar,Santos, Oscar Santos,SignedBonus,125000.0,2019
11,332,West Virginia (WV),P,L/L,4YR JR,109.0,Arizona Diamondbacks, Nick,Snyder, Nick Snyder,SignedBonus,125000.0,2019
12,362,Southport HS (IN),P,R/L,HS SR,109.0,Arizona Diamondbacks, Avery,Short, Avery Short,SignedBonus,922500.0,2019
13,392,Georgia Gwinnett College (GA),2B,L/R,4YR JR,109.0,Arizona Diamondbacks, Cam,Coursey, Cam Coursey,SignedBonus,125000.0,2019
14,422,Arizona State (AZ),C,R/R,4YR JR,109.0,Arizona Diamondbacks, Lyle,Lin, Lyle Lin,SignedBonus,125000.0,2019
15,452,Fairfield (CT),P,R/R,4YR JR,109.0,Arizona Diamondbacks, Austin,Pope, Austin Pope,SignedBonus,100000.0,2019
16,482,William F. West HS (WA),P,L/L,HS SR,109.0,Arizona Diamondbacks, Brock,Jones, Brock Jones,SignedBonus,550000.0,2019
17,512,SUNY Stony Brook (NY),SS,R/R,4YR JR,109.0,Arizona Diamondbacks, Nick,Grande, Nick Grande,SignedBonus,75000.0,2019
18,542,Tennessee (TN),SS,R/R,4YR JR,109.0,Arizona Diamondbacks, Ricky,Martinez, Ricky Martinez,SignedBonus,100000.0,2019
19,572,Ledford Senior HS (NC),CF,L/L,HS SR,109.0,Arizona Diamondbacks, Noah,Soles, Noah Soles,SignedBonus,0.0,2019
20,602,Mississippi State (MS),P,R/R,4YR SR,109.0,Arizona Diamondbacks, Jared,Liebelt, Jared Liebelt,SignedBonus,5000.0,2019
21,632,Texas A&M - Corpus Christi (TX),P,R/R,4YR JR,109.0,Arizona Diamondbacks, Dustin,Lacaze, Dustin Lacaze,SignedBonus,25000.0,2019
22,662,Central Arizona College (AZ),P,R/R,JC J2,109.0,Arizona Diamondbacks, Jonathan,Stroman, Jonathan Stroman,SignedBonus,75000.0,2019
23,692,San Jacinto College North (TX),P,R/R,JC J1,109.0,Arizona Diamondbacks, Dane,Acker, Dane Acker,SignedBonus,0.0,2019
24,722,Sickles HS (FL),P,R/R,HS SR,109.0,Arizona Diamondbacks, Dylan,Eskew, Dylan Eskew,SignedBonus,0.0,2019
25,752,McNeese State (LA),3B,R/R,4YR SR,109.0,Arizona Diamondbacks, Carson,Maxwell, Carson Maxwell,SignedBonus,2500.0,2019
1,9,Baylor (TX),C,R/R,4YR JR,144.0,Atlanta Braves, Shea,Langeliers, Shea Langeliers,SignedBonus,4000000.0,2019
1,21,Texas A&M (TX),SS,L/R,4YR JR,144.0,Atlanta Braves, Braden,Shewmake, Braden Shewmake,SignedBonus,3130000.0,2019
2,60,Oregon State (OR),SS,R/R,4YR JR,144.0,Atlanta Braves, Beau,Philip, Beau Philip,SignedBonus,697500.0,2019
3,98,Stockbridge HS (GA),OF,L/L,HS SR,144.0,Atlanta Braves, Michael,Harris, Michael Harris,SignedBonus,547500.0,2019
4,127,Texas A&M (TX),P,R/R,4YR SO,144.0,Atlanta Braves, Kasey,Kalich, Kasey Kalich,SignedBonus,347500.0,2019
5,157,St Josephs School (CT),OF,L/L,HS SR,144.0,Atlanta Braves, Stephen,Paolini, Stephen Paolini,SignedBonus,597500.0,2019
6,187,Indiana (IN),P,L/R,4YR JR,144.0,Atlanta Braves, Tanner,Gordon, Tanner Gordon,SignedBonus,212500.0,2019
7,217,CSU Bakersfield (CA),P,R/R,4YR JR,144.0,Atlanta Braves, Darius,Vines, Darius Vines,SignedBonus,127500.0,2019
8,247,Seton Hall (NJ),P,S/R,4YR JR,144.0,Atlanta Braves, Ricky,DeVito, Ricky DeVito,SignedBonus,167500.0,2019
9,277,Cowley County CC (KS),2B,L/R,JC J2,144.0,Atlanta Braves, Cody,Milligan, Cody Milligan,SignedBonus,197500.0,2019
10,307,Mississippi Gulf Coast JC (MS),RF,R/R,JC J2,144.0,Atlanta Braves, Brandon,Parker, Brandon Parker,SignedBonus,140700.0,2019
11,337,Hagerty HS (FL),SS,R/R,HS SR,144.0,Atlanta Braves, Vaughn,Grissom, Vaughn Grissom,SignedBonus,347500.0,2019
12,367,Wabash Valley College (IL),P,L/L,JC J1,144.0,Atlanta Braves, Andy,Samuelson, Andy Samuelson,SignedBonus,125000.0,2019
13,397,Trinity Catholic HS (FL),P,R/R,HS SR,144.0,Atlanta Braves, Tyler,Owens, Tyler Owens,SignedBonus,547500.0,2019
14,427,Smithville HS (MS),P,R/R,HS SR,144.0,Atlanta Braves, Jared,Johnson, Jared Johnson,SignedBonus,257500.0,2019
15,457,Washington (WA),OF,R/R,4YR JR,144.0,Atlanta Braves, Connor,Blair, Connor Blair,SignedBonus,125000.0,2019
16,487,Paraclete HS (CA),P,R/R,HS SR,144.0,Atlanta Braves, Joey,Estes, Joey Estes,SignedBonus,500000.0,2019
17,517,North Carolina State (NC),P,R/R,4YR JR,144.0,Atlanta Braves, Alec,Barger, Alec Barger,SignedBonus,125000.0,2019
18,547,Junipero Serra HS (CA),1B,L/L,HS SR,144.0,Atlanta Braves, Mahki,Backstrom, Mahki Backstrom,SignedBonus,0.0,2019
19,577,Seguin HS (TX),OF,R/R,HS SR,144.0,Atlanta Braves, Kadon,Morton, Kadon Morton,SignedBonus,447500.0,2019
20,607,Catawba College (NC),P,R/R,4YR SO,144.0,Atlanta Braves, Peyton,Williams, Peyton Williams,SignedBonus,125000.0,2019
21,637,Florida International (FL),C,R/R,4YR JR,144.0,Atlanta Braves, Javier,Valdes, Javier Valdes,SignedBonus,0.0,2019
22,667,Wichita State (KS),P,L/L,4YR JR,144.0,Atlanta Braves, Alex,Segal, Alex Segal,SignedBonus,125000.0,2019
23,697,Louisville (KY),CF,L/L,4YR JR,144.0,Atlanta Braves, Drew,Campbell, Drew Campbell,SignedBonus,0.0,2019
24,727,Dallas Baptist (TX),1B,L/R,4YR JR,144.0,Atlanta Braves, Bryce,Ball, Bryce Ball,SignedBonus,197500.0,2019
25,757,Pensacola State College (FL),P,R/R,JC J2,144.0,Atlanta Braves, Chad,Bryant, Chad Bryant,SignedBonus,100000.0,2019
26,787,Georgia (GA),3B,R/R,4YR JR,144.0,Atlanta Braves, Riley,King, Riley King,SignedBonus,0.0,2019
27,817,Michigan State (MI),P,R/R,4YR JR,144.0,Atlanta Braves, Indigo,Diaz, Indigo Diaz,SignedBonus,0.0,2019
28,847,Chandler Gilbert CC (AZ),P,R/R,JC J3,144.0,Atlanta Braves, Ben,Thompson, Ben Thompson,SignedBonus,0.0,2019
29,877,Azusa Pacific (CA),P,R/R,4YR SR,144.0,Atlanta Braves, James,Acuna, James Acuna,SignedBonus,0.0,2019
1,1,Oregon State (OR),C,S/R,4YR JR,110.0,Baltimore Orioles, Adley,Rutschman, Adley Rutschman,SignedBonus,8100000.0,2019
2,42,John T. Morgan Academy (AL),SS,L/R,HS SR,110.0,Baltimore Orioles, Gunnar,Henderson, Gunnar Henderson,SignedBonus,2300000.0,2019
CBB,71,Stanford (CA),OF,L/L,4YR JR,110.0,Baltimore Orioles, Kyle,Stowers, Kyle Stowers,SignedBonus,884200.0,2019
3,79,LSU (LA),CF,R/R,4YR JR,110.0,Baltimore Orioles, Zach,Watson, Zach Watson,SignedBonus,780400.0,2019
4,108,New Mexico State (NM),SS,R/R,4YR JR,110.0,Baltimore Orioles, Joseph,Ortiz, Joseph Ortiz,SignedBonus,450000.0,2019
5,138,Americas HS (TX),SS,R/R,HS SR,110.0,Baltimore Orioles, Darell,Hernaiz, Darell Hernaiz,SignedBonus,400000.0,2019
6,168,Stanford (CA),C,R/R,4YR JR,110.0,Baltimore Orioles, Maverick,Handley, Maverick Handley,SignedBonus,250000.0,2019
7,198,TCU (TX),OF,L/L,4YR SR,110.0,Baltimore Orioles, Johnny,Rizer, Johnny Rizer,SignedBonus,15000.0,2019
8,228,College of Charleston (SC),P,L/R,4YR JR,110.0,Baltimore Orioles, Griffin,McLarty, Griffin McLarty,SignedBonus,170000.0,2019
9,258,VCU (VA),P,R/R,4YR JR,110.0,Baltimore Orioles, Connor,Gillispie, Connor Gillispie,SignedBonus,125000.0,2019
10,288,Sam Houston State (TX),C,R/R,4YR SR,110.0,Baltimore Orioles, Jordan,Cannon, Jordan Cannon,SignedBonus,5000.0,2019
11,318,Stanford (CA),1B,R/R,4YR JR,110.0,Baltimore Orioles, Andrew,Daschbach, Andrew Daschbach,SignedBonus,250000.0,2019
12,348,West Virginia (WV),P,R/R,4YR JR,110.0,Baltimore Orioles, Kade,Strowd, Kade Strowd,SignedBonus,125000.0,2019
13,378,Pittsburgh (PA),P,R/R,4YR JR,110.0,Baltimore Orioles, Dan,Hammer, Dan Hammer,SignedBonus,150000.0,2019
14,408,University of Central Missouri (MO),CF,R/R,4YR JR,110.0,Baltimore Orioles, Mason,Janvrin, Mason Janvrin,SignedBonus,125000.0,2019
15,438,Fordham (NY),P,R/R,4YR JR,110.0,Baltimore Orioles, Kyle,Martin, Kyle Martin,SignedBonus,125000.0,2019
16,468,James Madison University (VA),P,R/R,4YR SR,110.0,Baltimore Orioles, Shelton,Perkins, Shelton Perkins,SignedBonus,100000.0,2019
17,498,Wake Forest (NC),P,R/R,4YR JR,110.0,Baltimore Orioles, Morgan,McSweeney, Morgan McSweeney,SignedBonus,125000.0,2019
18,528,New Mexico (NM),P,R/R,4YR SR,110.0,Baltimore Orioles, Malachi,Emond, Malachi Emond,SignedBonus,1000.0,2019
